indicator_id,period,value
area-restored,2024-Q3,120
area-restored,2024-Q4,340
area-restored,2025-Q1,620
area-restored,2025-Q2,890
area-restored,2025-Q3,1180
area-restored,2025-Q4,1520
area-restored,2026-Q1,1800
area-restored,2026-Q2,2016
riparian-buffer,2024-Q3,18
riparian-buffer,2024-Q4,45
riparian-buffer,2025-Q1,90
riparian-buffer,2025-Q2,140
riparian-buffer,2025-Q3,195
riparian-buffer,2025-Q4,250
riparian-buffer,2026-Q1,310
riparian-buffer,2026-Q2,362
trees-planted,2024-Q3,85000
trees-planted,2024-Q4,210000
trees-planted,2025-Q1,390000
trees-planted,2025-Q2,540000
trees-planted,2025-Q3,720000
trees-planted,2025-Q4,940000
trees-planted,2026-Q1,1120000
trees-planted,2026-Q2,1267559
agroforestry-area,2024-Q3,90
agroforestry-area,2024-Q4,240
agroforestry-area,2025-Q1,480
agroforestry-area,2025-Q2,720
agroforestry-area,2025-Q3,980
agroforestry-area,2025-Q4,1240
agroforestry-area,2026-Q1,1470
agroforestry-area,2026-Q2,1654
women-engaged,2024-Q3,850
women-engaged,2024-Q4,1900
women-engaged,2025-Q1,3100
women-engaged,2025-Q2,4300
women-engaged,2025-Q3,5600
women-engaged,2025-Q4,7000
women-engaged,2026-Q1,8200
women-engaged,2026-Q2,9300
participants-trained,2024-Q3,300
participants-trained,2024-Q4,700
participants-trained,2025-Q1,1200
participants-trained,2025-Q2,1750
participants-trained,2025-Q3,2300
participants-trained,2025-Q4,2850
participants-trained,2026-Q1,3300
participants-trained,2026-Q2,3750
jobs-created,2024-Q3,140
jobs-created,2024-Q4,310
jobs-created,2025-Q1,460
jobs-created,2025-Q2,590
jobs-created,2025-Q3,720
jobs-created,2025-Q4,860
jobs-created,2026-Q1,990
jobs-created,2026-Q2,1120
